file	side	kappa
02_std/fused_labels/ADNI_011_S_0023_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208151654929_S8868_I32409	left	0.7153877385
02_std/fused_labels/ADNI_011_S_0861_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070108234412094_S19476_I35513	left	0.5893333333
02_std/fused_labels/ADNI_011_S_0021_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061208145032820_S9581_I32332	left	0.6578272027
02_std/fused_labels/ADNI_011_S_0241_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061206190047259_S12088_I32020	left	0.7097361237
02_std/fused_labels/ADNI_011_S_0005_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061208112603927_S9136_I32246	left	0.6277236903
02_std/fused_labels/ADNI_011_S_0362_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20080205161416597_S12678_I89404	left	0.6185344828
02_std/fused_labels/ADNI_011_S_0053_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070108231357675_S10064_I35486	left	0.5358045493
02_std/fused_labels/ADNI_011_S_0168_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070108232555158_S11605_I35499	left	0.5553784861
02_std/fused_labels/ADNI_011_S_0183_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061206183315171_S12000_I32003	left	0.5816696915
02_std/fused_labels/ADNI_011_S_0326_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080205160151088_S12342_I89390	left	0.5404637956
02_std/fused_labels/ADNI_012_S_0634_MR_MPR____N3__Scaled_2_Br_20081001120424859_S15751_I118691	left	0.449657869
02_std/fused_labels/ADNI_011_S_1080_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070109192452043_S23159_I35591	left	0.753687975
02_std/fused_labels/ADNI_012_S_0637_MR_MPR____N3__Scaled_Br_20070711172252132_S16018_I59243	left	0.6318758815
02_std/fused_labels/ADNI_011_S_0856_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080205162614078_S19031_I89408	left	0.6483660131
02_std/fused_labels/ADNI_012_S_0637_MR_MPR____N3__Scaled_2_Br_20081001122934186_S16018_I118711	left	0.6451914099
02_std/fused_labels/ADNI_012_S_0634_MR_MPR____N3__Scaled_Br_20070804131522070_S15751_I64585	left	0.6001955034
02_std/fused_labels/ADNI_012_S_0720_MR_MPR____N3__Scaled_2_Br_20081001123253253_S17682_I118714	left	0.1114551084
02_std/fused_labels/ADNI_012_S_0917_MR_MPR____N3__Scaled_Br_20070711165737171_S23404_I59207	left	0.4543034605
02_std/fused_labels/ADNI_012_S_0689_MR_MPR-R____N3__Scaled_Br_20080225093300703_S16392_I92398	left	0.5925187032
02_std/fused_labels/ADNI_012_S_0917_MR_MPR____N3__Scaled_2_Br_20081001123821611_S23404_I118719	left	0.478961504
02_std/fused_labels/ADNI_011_S_1282_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727182019787_S26225_I62636	left	0.4797979798
02_std/fused_labels/ADNI_012_S_0712_MR_MPR____N3__Scaled_Br_20080225093529482_S16704_I92401	left	0.5212816834
02_std/fused_labels/ADNI_012_S_0689_MR_MPR-R____N3__Scaled_2_Br_20081001123144447_S16392_I118713	left	0.576
02_std/fused_labels/ADNI_012_S_1033_MR_MPR____N3__Scaled_Br_20070711170547643_S22635_I59219	left	0.6961733518
02_std/fused_labels/ADNI_012_S_0932_MR_MPR____N3__Scaled_Br_20070711173123684_S19374_I59255	left	0.4483479716
02_std/fused_labels/ADNI_012_S_0932_MR_MPR____N3__Scaled_2_Br_20081001123400925_S19374_I118715	left	0.4086378738
02_std/fused_labels/ADNI_012_S_1009_MR_MPR____N3__Scaled_Br_20070804145130249_S21610_I64717	left	0.658374056
02_std/fused_labels/ADNI_012_S_1175_MR_MPR____N3__Scaled_2_Br_20081001124304235_S24756_I118738	left	0.5167336011
02_std/fused_labels/ADNI_012_S_0712_MR_MPR____N3__Scaled_2_Br_20081001123034709_S16704_I118712	left	0.4946131244
02_std/fused_labels/ADNI_012_S_0803_MR_MPR____N3__Scaled_Br_20070711172746366_S19197_I59250	left	0.4218512898
02_std/fused_labels/ADNI_012_S_1133_MR_MPR____N3__Scaled_2_Br_20081001125131282_S25016_I118741	left	0.3974475843
02_std/fused_labels/ADNI_012_S_0720_MR_MPR____N3__Scaled_Br_20080225174150688_S17682_I92529	left	0.2948006058
02_std/fused_labels/ADNI_012_S_1175_MR_MPR____N3__Scaled_Br_20070711171524570_S24756_I59232	left	0.6284953395
02_std/fused_labels/ADNI_012_S_0803_MR_MPR____N3__Scaled_2_Br_20081001123507114_S19197_I118716	left	0.5542655225
02_std/fused_labels/ADNI_012_S_1212_MR_MPR____N3__Scaled_Br_20070711171900690_S25005_I59237	left	0.6418563923
02_std/fused_labels/ADNI_012_S_1292_MR_MPR____N3__Scaled_2_Br_20081001125734671_S27448_I118746	left	0.6827615417
02_std/fused_labels/ADNI_012_S_1033_MR_MPR____N3__Scaled_2_Br_20081001123718428_S22635_I118718	left	0.5880149813
02_std/fused_labels/ADNI_012_S_1009_MR_MPR____N3__Scaled_2_Br_20081001123612966_S21610_I118717	left	0.5417224453
02_std/fused_labels/ADNI_012_S_1212_MR_MPR____N3__Scaled_2_Br_20081001125242417_S25005_I118742	left	0.7114797032
02_std/fused_labels/ADNI_012_S_1321_MR_MPR____N3__Scaled_2_Br_20081001125622173_S26933_I118745	left	0.5182481752
